condition,sample_id,fold,repeat,k,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts
B0,KYOw02752,1,2,10,117193,9,0.3588354253240381,False,"[40494, 4, 15329, 996, 0, 42053, 10749, 98, 5556, 1914]"
B0,KYOw02752,1,2,12,117193,10,0.4521686448849334,False,"[15, 52991, 295, 2556, 10042, 4, 8049, 36906, 0, 1114, 0, 5221]"
B0,KYOw02752,1,2,14,117193,12,0.40239604754550184,False,"[47158, 3542, 9749, 0, 107, 0, 2, 1796, 3, 9, 19679, 752, 3990, 30406]"
B0,KYOw02766,1,2,2,46176,2,0.7063626126126126,False,"[13559, 32617]"
B0,KYOw02766,1,2,4,46176,4,0.4200233887733888,False,"[19395, 13764, 3563, 9454]"
B0,KYOw02766,1,2,6,46176,6,0.32278672903672906,False,"[4565, 4511, 14905, 339, 10191, 11665]"
B0,KYOw02766,1,2,8,46176,8,0.24757449757449757,False,"[11432, 7583, 8983, 7843, 1522, 15, 304, 8494]"
B0,KYOw02766,1,2,10,46176,9,0.2490038115038115,False,"[4968, 0, 4337, 3178, 1020, 11498, 3620, 271, 6752, 10532]"
B0,KYOw02766,1,2,12,46176,11,0.28209459459459457,False,"[75, 13026, 745, 6079, 3340, 0, 2460, 4867, 1072, 4693, 3219, 6600]"
B0,KYOw02766,1,2,14,46176,13,0.18524774774774774,False,"[8554, 3508, 2999, 364, 266, 2740, 15, 5559, 0, 2421, 6879, 1968, 5815, 5088]"
B0,KYOw02769,1,2,2,161734,2,0.9762511283960082,False,"[3841, 157893]"
B0,KYOw02769,1,2,4,161734,4,0.5811394017337109,False,"[93990, 5089, 1187, 61468]"
B0,KYOw02769,1,2,6,161734,6,0.6234681637750875,False,"[27828, 1130, 27715, 285, 100836, 3940]"
B0,KYOw02769,1,2,8,161734,8,0.5796802156627548,False,"[15931, 2097, 93754, 3378, 284, 354, 282, 45654]"
B0,KYOw02769,1,2,10,161734,10,0.36672561118874203,False,"[59312, 21, 4731, 1356, 58, 54149, 4340, 236, 35280, 2251]"
B0,KYOw02769,1,2,12,161734,12,0.36759741303621996,False,"[79, 56150, 375, 2149, 3995, 18, 3099, 59453, 72, 1617, 92, 34635]"
B0,KYOw02769,1,2,14,161734,14,0.4215749316779403,False,"[68183, 1995, 3929, 9, 233, 53, 24, 2009, 15, 244, 6310, 927, 31874, 45929]"
B0,KYOw02774,1,2,2,38927,2,0.9582551956225756,False,"[1625, 37302]"
B0,KYOw02774,1,2,4,38927,4,0.46715647237136176,False,"[18185, 2163, 592, 17987]"
B0,KYOw02774,1,2,6,38927,6,0.3786061088704498,False,"[12019, 360, 9870, 278, 14738, 1662]"
B0,KYOw02774,1,2,8,38927,8,0.34824158039407094,False,"[6918, 823, 13556, 1433, 71, 4157, 278, 11691]"
B0,KYOw02774,1,2,10,38927,9,0.29054383846687387,False,"[8391, 3053, 1652, 589, 0, 11310, 2512, 249, 10458, 713]"
B0,KYOw02774,1,2,12,38927,11,0.3151283171063786,False,"[123, 12267, 226, 715, 1260, 2995, 2098, 8165, 0, 682, 1, 10395]"
B0,KYOw02774,1,2,14,38927,13,0.2943458268040178,False,"[11458, 483, 2515, 0, 188, 2, 75, 877, 2726, 3, 2880, 427, 10019, 7274]"
B0,KYOw02775,1,2,2,51705,2,0.8765109757276859,False,"[6385, 45320]"
B0,KYOw02775,1,2,4,51705,4,0.5622086838797021,False,"[29069, 13729, 1148, 7759]"
B0,KYOw02775,1,2,6,51705,6,0.5358862779228315,False,"[3709, 1092, 27708, 209, 9250, 9737]"
B0,KYOw02775,1,2,8,51705,8,0.42962962962962964,False,"[22214, 3601, 7863, 10401, 241, 14, 209, 7162]"
B0,KYOw02775,1,2,10,51705,9,0.39355961705831155,False,"[4260, 0, 20349, 2384, 9, 1889, 13032, 128, 5750, 3904]"
B0,KYOw02775,1,2,12,51705,11,0.40433226960642105,False,"[15, 7484, 429, 4219, 20906, 0, 4762, 4842, 13, 3064, 384, 5587]"
B0,KYOw02775,1,2,14,51705,13,0.38851174934725846,False,"[2232, 8120, 5290, 2, 153, 328, 3, 4183, 0, 30, 20088, 1456, 4930, 4890]"
B0,KYOw02776,1,2,2,91475,2,0.7538781087728887,False,"[22514, 68961]"
B0,KYOw02776,1,2,4,91475,4,0.5232358567914731,False,"[47863, 33253, 5876, 4483]"
B0,KYOw02776,1,2,6,91475,6,0.44773981962284776,False,"[235, 5428, 40957, 1565, 17262, 26028]"
B0,KYOw02776,1,2,8,91475,8,0.355310194042088,False,"[32502, 12104, 19993, 22314, 1172, 5, 1550, 1835]"
B0,KYOw02776,1,2,10,91475,9,0.32159606449849687,False,"[9827, 0, 5280, 7394, 1, 24378, 29418, 1279, 572, 13326]"
B0,KYOw02776,1,2,12,91475,11,0.2953375239136376,False,"[542, 23518, 1968, 11757, 6346, 0, 27016, 9652, 2, 9532, 624, 518]"
B0,KYOw02776,1,2,14,91475,12,0.308138835747472,False,"[20666, 6847, 28187, 0, 1155, 501, 250, 14176, 0, 91, 6797, 5342, 370, 7093]"
B0,KYOw16719,1,2,2,81497,2,0.9597285789660969,False,"[3282, 78215]"
B0,KYOw16719,1,2,4,81497,4,0.8862166705522903,False,"[72224, 7305, 644, 1324]"
B0,KYOw16719,1,2,6,81497,6,0.7521871970747389,False,"[126, 688, 61301, 68, 14413, 4901]"
B0,KYOw16719,1,2,8,81497,7,0.5538854190951814,False,"[45140, 1878, 28866, 4753, 82, 0, 65, 713]"
B0,KYOw16719,1,2,10,81497,9,0.7220143072751144,False,"[3290, 0, 678, 1151, 5, 58842, 15464, 34, 362, 1671]"
B0,KYOw16719,1,2,12,81497,11,0.6557296587604452,False,"[2, 53440, 138, 1518, 732, 0, 20354, 3415, 5, 1546, 23, 324]"
B0,KYOw16719,1,2,14,81497,12,0.6079364884596979,False,"[49545, 552, 24599, 2, 39, 21, 0, 2367, 0, 14, 1368, 775, 247, 1968]"
B0,KYOw02707,1,3,2,115078,2,0.9803090078034029,False,"[2266, 112812]"
B0,KYOw02707,1,3,4,115078,4,0.6209614348528824,False,"[3066, 71459, 679, 39874]"
B0,KYOw02707,1,3,6,115078,6,0.9015276595005127,False,"[419, 156, 553, 2252, 7952, 103746]"
B0,KYOw02707,1,3,8,115078,8,0.533811849354351,False,"[61430, 1, 43, 5759, 150, 1819, 44849, 1027]"
B0,KYOw02707,1,3,10,115078,10,0.7989276838318358,False,"[1116, 1180, 64, 11103, 1, 91939, 263, 2835, 6540, 37]"
B0,KYOw02707,1,3,12,115078,12,0.7953214341577017,False,"[1096, 65, 4757, 91524, 25, 5, 765, 1531, 245, 1, 993, 14071]"
B0,KYOw02707,1,3,14,115078,14,0.51352126383844,False,"[1199, 1, 31451, 15479, 63, 26, 228, 77, 2677, 787, 3044, 947, 59095, 4]"
B0,KYOw02720,1,3,2,131174,2,0.989250918627167,False,"[1410, 129764]"
B0,KYOw02720,1,3,4,131174,4,0.6163340296095263,False,"[2473, 80847, 249, 47605]"
B0,KYOw02720,1,3,6,131174,6,0.7597465961242319,False,"[14084, 10, 231, 1690, 15500, 99659]"
B0,KYOw02720,1,3,8,131174,7,0.48358668638602165,False,"[63434, 164, 0, 10803, 1, 1268, 54860, 644]"
B0,KYOw02720,1,3,10,131174,8,0.6333724671047616,False,"[303, 931, 0, 17488, 11, 83082, 66, 5057, 24236, 0]"
B0,KYOw02720,1,3,12,131174,10,0.6163111592236267,False,"[5485, 0, 2045, 80844, 0, 12, 14620, 758, 46, 2, 728, 26634]"
B0,KYOw02720,1,3,14,131174,12,0.4504170033695702,False,"[514, 2, 59083, 2127, 0, 0, 40, 5669, 15541, 2630, 1213, 689, 43655, 11]"
B0,KYOw02751,1,3,2,71469,2,0.9159495725419413,False,"[6007, 65462]"
B0,KYOw02751,1,3,4,71469,4,0.798010326155396,False,"[8634, 4721, 1081, 57033]"
B0,KYOw02751,1,3,6,71469,6,0.5459290041836321,False,"[36, 88, 1306, 6296, 39017, 24726]"
B0,KYOw02751,1,3,8,71469,7,0.45391708293106103,False,"[32441, 0, 351, 29655, 79, 5489, 1685, 1769]"
B0,KYOw02751,1,3,10,71469,9,0.4680910604597798,False,"[3423, 2462, 5, 33454, 0, 16938, 202, 14257, 234, 494]"
B0,KYOw02751,1,3,12,71469,11,0.4993773524185311,False,"[19049, 6, 1345, 8509, 442, 33, 52, 4123, 179, 0, 2041, 35690]"
B0,KYOw02751,1,3,14,71469,13,0.5058836698428689,False,"[3834, 0, 17758, 277, 4, 416, 176, 2, 36155, 8553, 1321, 1730, 1227, 16]"
B0,KYOw02752,1,3,2,117193,2,0.9743926685040916,False,"[3001, 114192]"
B0,KYOw02752,1,3,4,117193,4,0.7457953973360184,False,"[6181, 22874, 736, 87402]"
B0,KYOw02752,1,3,6,117193,6,0.627665474900378,False,"[4380, 154, 606, 3751, 34744, 73558]"
B0,KYOw02752,1,3,8,117193,8,0.6241840382958026,False,"[73150, 15, 1, 24480, 125, 3356, 14880, 1186]"
B0,KYOw02752,1,3,10,117193,10,0.42090397890659,False,"[1803, 1429, 15, 44651, 6, 49327, 350, 11929, 7682, 1]"
