fold,repeat,k,reference,target,b1_raw_id,b0_display_id,overlap_pixels,zero_overlap,fold_valid_pixels,fold_overlap_fraction,fold_sample_ids,overlap_b0_id_1,overlap_b0_id_2,overlap_b0_id_3,overlap_b0_id_4,overlap_b0_id_5,overlap_b0_id_6,overlap_b0_id_7,overlap_b0_id_8,a0_raw_id,m00_raw_id
5,1,8,B0,B1,5.0,4,0,True,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",4,6847,0,0,0,18430,0,0,,
5,1,8,B0,B1,3.0,5,23541,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",57075,0,1033,4532,23541,68464,0,0,,
5,1,8,B0,B1,4.0,6,102814,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",210,1533,0,0,2,102814,0,0,,
5,1,8,B0,B1,6.0,7,4,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,15816,0,0,0,2142,4,9318,,
5,1,8,B0,B1,8.0,8,114374,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,36874,0,0,0,0,9369,114374,,
1,1,8,B0,A0,,1,239539,False,906428,0.496524820504221,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",239539,0,55332,5,68368,3534,0,0,8.0,
1,1,8,B0,A0,,2,1261,False,906428,0.496524820504221,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",0,1261,0,610,0,513,0,250,4.0,
1,1,8,B0,A0,,3,81678,False,906428,0.496524820504221,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",5336,0,81678,0,251,47,2626,2,3.0,
1,1,8,B0,A0,,4,8786,False,906428,0.496524820504221,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",0,956,0,8786,5,292,0,2986,2.0,
1,1,8,B0,A0,,5,82624,False,906428,0.496524820504221,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",52110,0,677,3807,82624,18401,0,10,1.0,
1,1,8,B0,A0,,6,32265,False,906428,0.496524820504221,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",1,78,0,16713,6242,32265,0,7,6.0,
1,1,8,B0,A0,,7,3911,False,906428,0.496524820504221,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",135,0,2296,1,14,0,3911,2,7.0,
1,1,8,B0,A0,,8,0,True,906428,0.496524820504221,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",124014,0,49666,0,39962,1115,0,0,5.0,
2,1,8,B0,A0,,1,79924,False,781665,0.48947311188296777,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",79924,66,676,18438,0,3097,22,0,2.0,
2,1,8,B0,A0,,2,3852,False,781665,0.48947311188296777,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",0,3852,31,0,1090,0,2,3977,8.0,
2,1,8,B0,A0,,3,16134,False,781665,0.48947311188296777,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",616,17,16134,51372,0,59140,217,0,6.0,
2,1,8,B0,A0,,4,71168,False,781665,0.48947311188296777,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",66077,0,0,71168,0,2746,2,0,1.0,
2,1,8,B0,A0,,5,245,False,781665,0.48947311188296777,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",0,650,0,0,245,0,271,507,3.0,
2,1,8,B0,A0,,6,128634,False,781665,0.48947311188296777,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",6,214,24287,85205,0,128634,18,1,4.0,
2,1,8,B0,A0,,7,16606,False,781665,0.48947311188296777,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",4,12895,12022,6,0,1668,16606,3471,7.0,
2,1,8,B0,A0,,8,66041,False,781665,0.48947311188296777,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",142,45055,829,848,660,1226,1490,66041,5.0,
3,1,8,B0,A0,,1,99850,False,667682,0.404721109749851,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",99850,0,31357,255,48124,0,165,0,2.0,
3,1,8,B0,A0,,2,119,False,667682,0.404721109749851,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",0,119,0,0,4,23,37,0,7.0,
3,1,8,B0,A0,,3,49865,False,667682,0.404721109749851,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",105999,0,49865,2286,1637,0,6,0,4.0,
3,1,8,B0,A0,,4,1290,False,667682,0.404721109749851,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",85301,49,11115,1290,19579,1,140,17,1.0,
3,1,8,B0,A0,,5,100260,False,667682,0.404721109749851,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",57480,3921,0,0,100260,0,14873,3,3.0,
3,1,8,B0,A0,,6,282,False,667682,0.404721109749851,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",1,1,5,0,0,282,154,243,5.0,
3,1,8,B0,A0,,7,15226,False,667682,0.404721109749851,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",193,7452,12,0,2279,831,15226,2,6.0,
3,1,8,B0,A0,,8,3333,False,667682,0.404721109749851,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",0,3195,0,0,6,700,11,3333,8.0,
4,1,8,B0,A0,,1,109112,False,750105,0.40208770772091906,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",109112,4,1535,22936,146,30600,0,4,4.0,
4,1,8,B0,A0,,2,5616,False,750105,0.40208770772091906,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",0,5616,1290,0,10202,21,0,2239,3.0,
4,1,8,B0,A0,,3,20046,False,750105,0.40208770772091906,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",47058,0,20046,11,2697,43621,0,0,1.0,
4,1,8,B0,A0,,4,110895,False,750105,0.40208770772091906,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",34528,0,533,110895,0,1475,4053,0,6.0,
4,1,8,B0,A0,,5,9007,False,750105,0.40208770772091906,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",0,1940,6267,0,9007,1,0,5149,7.0,
4,1,8,B0,A0,,6,42691,False,750105,0.40208770772091906,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",109367,0,4948,16386,91,42691,0,0,2.0,
4,1,8,B0,A0,,7,3312,False,750105,0.40208770772091906,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",8263,0,278,72476,0,1561,3312,0,8.0,
4,1,8,B0,A0,,8,929,False,750105,0.40208770772091906,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",0,10,14922,0,2162,1723,0,929,5.0,
5,1,8,B0,A0,,1,75859,False,796370,0.4770998405263885,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",75859,38588,0,0,347,70760,0,1268,1.0,
5,1,8,B0,A0,,2,2,False,796370,0.4770998405263885,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",22873,2,213,30,3263,348,0,1,6.0,
5,1,8,B0,A0,,3,4972,False,796370,0.4770998405263885,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",6979,1,4972,704,10182,23,0,4,8.0,
5,1,8,B0,A0,,4,370,False,796370,0.4770998405263885,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",26,5,11,370,55,8,0,1,4.0,
5,1,8,B0,A0,,5,21895,False,796370,0.4770998405263885,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",7484,0,644,3858,21895,0,0,0,5.0,
5,1,8,B0,A0,,6,144727,False,796370,0.4770998405263885,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",25855,124070,0,0,459,144727,178,15347,2.0,
5,1,8,B0,A0,,7,3601,False,796370,0.4770998405263885,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,63,0,0,0,1,3601,1647,7.0,
5,1,8,B0,A0,,8,128522,False,796370,0.4770998405263885,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,75311,0,0,0,184,5631,128522,3.0,
1,1,8,B0,M00,,1,282976,False,906428,0.5878679828954975,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",282976,0,110982,0,11401,266,2,0,,3.0
1,1,8,B0,M00,,2,1232,False,906428,0.5878679828954975,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",0,1232,0,641,0,492,0,85,,4.0
1,1,8,B0,M00,,3,73419,False,906428,0.5878679828954975,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",4609,0,73419,0,662,417,2708,1,,5.0
1,1,8,B0,M00,,4,9590,False,906428,0.5878679828954975,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",0,885,0,9590,0,0,0,3169,,2.0
1,1,8,B0,M00,,5,135647,False,906428,0.5878679828954975,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",55832,0,2,6250,135647,27735,0,0,,8.0
1,1,8,B0,M00,,6,26170,False,906428,0.5878679828954975,"[""KYOw02707"", ""KYOw02720"", ""KYOw02751"", ""KYOw02752"", ""KYOw02766"", ""KYOw02769"", ""KYOw02774"", ""KYOw02775"", ""KYOw02776"", ""KYOw16719""]",0,178,0,13440,906,26170,0,0,,6.0
