sample_id,mask_pixel_count,source_full_band_invalid_snv_pixel_count,nonfinite_retained_reflectance_pixel_count,nonpositive_snv_input_std_pixel_count,saved_pixel_count,excluded_pixel_count,excluded_pixel_fraction,pixels_with_any_negative_interpolated_reflectance,pixels_with_any_interpolated_reflectance_above_one,final_snv_first_difference_rms_q99,final_snv_max_abs_second_difference_q99,final_snv_max_abs_second_difference_max,snv_mean_absolute_max,snv_sample_std_absolute_error_max,snv_l2_norm_absolute_error_max
KYOw02773,52620,0,0,0,52620,0,0.0,2,0,0.055958428201501514,0.42685999870300234,2.17300932854414,6.28642737865448e-09,8.761559477932224e-09,1.3991088287923503e-07
KYOw02774,38942,0,0,0,38942,0,0.0,15,0,0.07280166843596808,0.5188666838407484,2.4327164525166154,6.994923751335591e-09,1.013605177568877e-08,1.618597682551126e-07
KYOw02775,51705,0,0,0,51705,0,0.0,0,0,0.0721259852758726,0.5282479548454281,3.57374931871891,7.159542292356491e-09,9.096563724497742e-09,1.4526047387164454e-07
KYOw02776,91475,0,0,0,91475,0,0.0,0,0,0.07280777641887917,0.6637223148345927,2.618189513683319,7.144990377128124e-09,9.463650640917365e-09,1.5112238038739179e-07
KYOw02777,121687,0,0,0,121687,0,0.0,0,0,0.06731582840219182,0.6732316562533376,3.6061736941337585,7.188646122813225e-09,8.804852180688272e-09,1.4060221253942018e-07
KYOw02780,56542,0,0,0,56542,0,0.0,78,0,0.05865501583814934,0.4295744560658926,1.8907414488494396,6.912159733474255e-09,8.626067971029272e-09,1.3774725715620662e-07
KYOw02783,84218,0,0,0,84218,0,0.0,0,0,0.06526067108546711,0.6414811408519745,2.5587572306394577,7.043126970529556e-09,1.6872554242652882e-08,2.694330856201077e-07
KYOw02784,117564,821,0,0,117564,0,0.0,15,0,0.05219945846350802,0.43299591779708857,1.9085174798965454,7.07223080098629e-09,8.863201617081984e-09,1.4153398097960235e-07
KYOw02787,106684,0,0,0,106684,0,0.0,0,0,0.05612784552075838,0.4278731441497802,3.8842483535408974,7.290509529411793e-09,1.074009758905703e-08,1.7150560438494722e-07
KYOw02788,112294,0,0,0,112294,0,0.0,0,0,0.0736714159110854,0.5479925382137295,2.467672973871231,7.288690540008247e-09,9.78066139190048e-09,1.5618463855560094e-07
KYOw02789,125946,0,0,0,125946,0,0.0,0,0,0.07105683078656225,0.6277775257825858,1.9717214405536652,6.880327418912202e-09,8.943581653042543e-09,1.428175462336867e-07
KYOw02790,26249,0,0,0,26249,0,0.0,0,0,0.08369951223494214,0.6012143135070809,2.28757044672966,6.9776433520019054e-09,9.09051867115096e-09,1.4516394308827785e-07
KYOw16662,48925,0,0,0,48925,0,0.0,0,0,0.06361922638330049,0.48768816471099863,3.7934306859970093,6.461050361394882e-09,8.44585534842679e-09,1.3486949335117515e-07
KYOw16666,58338,0,0,0,58338,0,0.0,0,0,0.06342619335782765,0.4373829993605607,2.0091761350631714,6.933987606316805e-09,8.288228103836559e-09,1.323523868279608e-07
KYOw16700,55042,0,0,0,55042,0,0.0,4,0,0.05620348566928763,0.3905908362567421,2.932477116584778,6.941263563930988e-09,8.376129567722046e-09,1.337560604497412e-07
KYOw16702,33939,0,0,0,33939,0,0.0,0,0,0.07047923370987211,0.4817242324352282,2.048202246427536,6.679329089820385e-09,8.688116670541035e-09,1.387380965667262e-07
KYOw16711,82013,0,0,0,82013,0,0.0,1,0,0.06264410779643653,0.4998512148857128,2.864445209503174,1.0797521099448204e-08,1.0303715658466217e-08,1.64537144797805e-07
KYOw16714,46132,0,0,0,46132,0,0.0,5,0,0.06083189701438833,0.43291563987731957,1.7140710726380348,6.71207089908421e-09,9.158485303473185e-09,1.4624928290629668e-07
KYOw16716,80058,0,0,0,80058,0,0.0,2,0,0.05781275412082753,0.4382543659210202,2.7062463792972267,6.643858796451241e-09,8.165415676941734e-09,1.3039123203384406e-07
KYOw16719,81498,0,0,0,81498,0,0.0,1,0,0.05910868476824375,0.40596938371658314,1.4329549074172974,7.325070328079164e-09,8.544281948630328e-09,1.3644124230438592e-07
KYOw16737,65693,0,0,0,65693,0,0.0,0,0,0.1109595804303293,0.7788129711151135,4.232052743434906,8.316419553011656e-09,9.551022195353198e-09,1.5251759322154612e-07
KYOw16744,108871,0,0,0,108871,0,0.0,8,0,0.0744970535025863,0.5440311238169672,2.973032131791115,7.057678885757923e-09,9.244426890653301e-09,1.4762165712056685e-07
KYOw16750,58747,0,0,0,58747,0,0.0,8,0,0.057234390281964594,0.39619383335113556,1.5762648582458496,7.1158865466713905e-09,7.946838964656422e-09,1.2690084005839708e-07
