mode,band_index,wavelength_nm,denominator_mean,denominator_std,denominator_min,denominator_q01,denominator_q05,denominator_nonpositive_fraction,denominator_below_floor_fraction,snr_proxy,low_snr,white_max,dark_max,white_at_dtype_max_fraction,dark_at_dtype_max_fraction,retained
200,56,1267.39,51950.14375,1174.2485088710728,49504.0,49687.91,50351.8,0.0,0.0,44.241183495259484,False,65535.0,3900.0,0.003125,0.0,True
200,57,1273.7,52684.321875,1226.0815172823886,50228.0,50516.47,51171.75,0.0,0.0,42.969673004919635,False,65535.0,3847.0,0.003125,0.0,True
200,58,1280.02,53485.246875,1111.5076747048283,50955.0,51407.93,51847.45,0.0,0.0,48.11954797271506,False,65535.0,3830.0,0.00625,0.0,True
200,59,1286.34,54172.834375,830.7883459060794,51746.0,52046.67,52675.4,0.0,0.0,65.20654104255354,False,65535.0,4153.0,0.003125,0.0,True
200,60,1292.65,55066.853125,845.8892068721142,52291.0,53010.52,53537.5,0.0,0.0,65.09936842511955,False,65535.0,3791.0,0.003125,0.0,True
200,61,1298.97,55825.5875,973.0377908096633,52977.0,53565.09,54304.25,0.0,0.0,57.37247620521249,False,65535.0,4174.0,0.009375,0.0,True
200,62,1305.29,56627.36875,933.5855586251521,53442.0,54349.16,54994.65,0.0,0.0,60.65578909917204,False,65535.0,3916.0,0.009375,0.0,True
200,63,1311.6,57268.5625,758.7077804357551,54808.0,55214.93,55926.85,0.0,0.0,75.48171242834545,False,65535.0,4046.0,0.003125,0.0,True
200,64,1317.92,57979.9,766.773815248017,55124.0,55905.18,56616.35,0.0,0.0,75.61538858919697,False,63803.0,4247.0,0.0,0.0,True
200,65,1324.23,58367.44375,800.9683572625934,55560.0,56172.22,56895.6,0.0,0.0,72.87109811613252,False,64191.0,3898.0,0.0,0.0,True
200,66,1330.55,58823.965625,816.3490954814364,55713.0,56779.13,57266.95,0.0,0.0,72.05736608345096,False,64851.0,4222.0,0.0,0.0,True
200,67,1336.86,59075.39375,817.1166157354393,55814.0,56893.9,57494.45,0.0,0.0,72.29738401149706,False,64845.0,4171.0,0.0,0.0,True
200,68,1343.18,59311.590625,827.7593652669291,56763.0,57096.38,57819.25,0.0,0.0,71.65317979322845,False,65535.0,3894.0,0.003125,0.0,True
200,69,1349.49,59035.784375,845.779123282704,56208.0,56785.21,57327.05,0.0,0.0,69.80047479283436,False,65535.0,3840.0,0.00625,0.0,True
