stage,band_index,wavelength_nm,low_snr,sample_count,median_nonfinite_fraction,q90_nonfinite_fraction,max_nonfinite_fraction,median_negative_fraction,q90_negative_fraction,max_negative_fraction,median_above_one_fraction,q90_above_one_fraction,max_above_one_fraction,median_sample_q01,median_sample_median,median_sample_q99,q10_sample_median,q90_sample_median
snv,8,956.7859607843137,False,49,0.0,0.0,0.0,0.00024386377769378026,0.008211971955635852,0.26868657996284123,0.9824094970167249,0.996830645013535,0.9986390391616481,0.7656424689292908,1.5649865865707397,1.7097473978996276,1.3654383182525636,1.6581619501113891
snv,9,962.246705882353,False,49,0.0,0.0,0.0,0.0001828978332703352,0.007887934134536591,0.20538961142076764,0.9831529608088542,0.997251997887886,0.998673063182607,0.8276763272285461,1.5455385446548462,1.6821101450920104,1.3663403391838074,1.6342996835708619
snv,10,967.7074509803922,False,49,0.0,0.0,0.0,0.00017070464438564617,0.007532242765394092,0.15131087926571704,0.9834474465631059,0.9972942869560972,0.9987155932088054,0.86219109416008,1.5218305587768555,1.6490235066413879,1.362178409099579,1.602717661857605
snv,11,973.1681960784314,False,49,0.0,0.0,0.0,0.00013538342520065758,0.00704132160894315,0.10680767948168263,0.9839382561535253,0.9973750221987902,0.9987581232350039,0.883242661356926,1.4964330792427063,1.614069814682007,1.3521664619445801,1.5676681280136109
snv,12,978.6289411764706,False,49,0.0,0.0,0.0,0.00013538342520065758,0.006007723401197066,0.07230876724945612,0.9843063633463398,0.9974616600959822,0.9988261712769215,0.8948478549718857,1.475027859210968,1.5838900685310364,1.341455614566803,1.5365110516548157
snv,13,984.0896862745099,False,49,0.0,0.0,0.0,0.00015472391451503724,0.005335090296799582,0.04797294078414559,0.9849076050946035,0.9977006621231689,0.9987921472559627,0.9101449030637742,1.458620011806488,1.56377112865448,1.3361233711242675,1.5148826599121095
snv,14,989.550431372549,False,49,0.0,0.0,0.0,0.0001114667431010048,0.005003099434330898,0.032656852936972985,0.9852365758223315,0.9977913764563509,0.9988176652716818,0.9292635709047318,1.4501636028289795,1.5487552785873413,1.3355389475822448,1.4995282649993897
snv,15,995.0111764705882,False,49,0.0,0.0,0.0,0.0001114667431010048,0.004642579155743893,0.027962970017905445,0.9856561576066274,0.9976701835361244,0.9988261712769215,0.9499835169315338,1.4544264078140259,1.5488236141204834,1.3431269764900207,1.4995819807052613
snv,16,1000.4719215686275,False,49,0.0,0.0,0.0,9.55429226580041e-05,0.0043071010825420095,0.026324812373804716,0.9872215380488459,0.9979153411079985,0.9989367493450376,0.9673654413223267,1.463409423828125,1.5562713193893434,1.358699917793274,1.505804169178009
snv,17,1005.9326666666667,False,49,0.0,0.0,0.0,0.0001114667431010048,0.003914192690987632,0.024191397767534,0.9893187665370125,0.9981773153502633,0.9990047973869552,0.9933438944816589,1.4766453504562378,1.5700975000858308,1.3738948822021484,1.5186776876449586
snv,18,1011.3934117647059,False,49,0.0,0.0,0.0,9.55429226580041e-05,0.0036185710474246546,0.022362756676444818,0.9912696767585627,0.9984574114676491,0.999064339423633,1.0132124042510986,1.491429328918457,1.580395257472992,1.3886996507644653,1.5326055526733398
snv,19,1016.8541568627452,False,49,0.0,0.0,0.0,7.961910221500343e-05,0.0033045367173241127,0.02049601889595794,0.9922085523026837,0.9986199101646582,0.9991590365771844,1.0325033473968506,1.5080558061599731,1.5965139043331147,1.4058035135269165,1.5474745631217957
snv,20,1022.3149019607844,False,49,0.0,0.0,0.0,6.369528177200274e-05,0.0028030522074018044,0.01874357118366414,0.9928904858423929,0.9988094156344097,0.9993102210127467,1.0548052835464476,1.5275360345840454,1.6177014744281768,1.4247444152832032,1.56493399143219
snv,21,1027.7756470588236,False,49,0.0,0.0,0.0,6.369528177200274e-05,0.002539033715767261,0.017524477122938018,0.9931361709968675,0.99890605488952,0.9994614054483091,1.0794260263442994,1.5464323163032532,1.6389982652664186,1.444201374053955,1.5848996758460998
