condition,k,fold,repeat,scope,cluster_id,pooled_pixels,pooled_fraction,sample_macro_fraction
B0,10,1,2,clean_test,1,315294,0.3478422996641763,0.28329415773950467
B0,10,1,2,clean_test,2,3083,0.003401262979519609,0.007863201217466798
B0,10,1,2,clean_test,3,62500,0.06895197412259992,0.08466162729174483
B0,10,1,2,clean_test,4,19604,0.02162775201119118,0.02695218977702018
B0,10,1,2,clean_test,5,1454,0.0016040987259881645,0.0027644755851129283
B0,10,1,2,clean_test,6,280521,0.3094796277255336,0.3126585503995192
B0,10,1,2,clean_test,7,97122,0.1071480580917624,0.12383489277381828
B0,10,1,2,clean_test,8,2499,0.0027569757333180353,0.0033547649089614774
B0,10,1,2,clean_test,9,83482,0.09209997925924618,0.09474640137245174
B0,10,1,2,clean_test,10,40869,0.04508797168666458,0.059869738934399966
B0,10,1,3,clean_test,1,31725,0.03500002206463172,0.04722302491469042
B0,10,1,3,clean_test,2,31452,0.034698839841664206,0.04353310533764587
B0,10,1,3,clean_test,3,917,0.001011663364326786,0.0012186083877896913
B0,10,1,3,clean_test,4,258847,0.28556818633140196,0.30990860378820484
B0,10,1,3,clean_test,5,3490,0.0038502782350059795,0.008858555624266518
B0,10,1,3,clean_test,6,363217,0.400712466958214,0.3303732706414488
B0,10,1,3,clean_test,7,5361,0.005914424532340131,0.007279696091627254
B0,10,1,3,clean_test,8,105242,0.11610629856977057,0.13394794105696456
B0,10,1,3,clean_test,9,104175,0.11492915046754955,0.11392496107287568
B0,10,1,3,clean_test,10,2002,0.0022086696350951205,0.0037322330844864206
B0,10,2,1,clean_test,1,18845,0.02410879340894117,0.026354323958956934
B0,10,2,1,clean_test,2,123023,0.15738583664357494,0.19906291493942443
B0,10,2,1,clean_test,3,14494,0.018542470239808612,0.021648422487752325
B0,10,2,1,clean_test,4,1115,0.0014264422738641234,0.0011760762511994233
B0,10,2,1,clean_test,5,91186,0.1166561122731605,0.0772122773720613
B0,10,2,1,clean_test,6,134206,0.17169247695624085,0.1759289017121285
B0,10,2,1,clean_test,7,36821,0.04710585736856582,0.03114866917634141
B0,10,2,1,clean_test,8,38423,0.04915532868940019,0.05974827212161291
B0,10,2,1,clean_test,9,115323,0.14753506937115005,0.13435424366342527
B0,10,2,1,clean_test,10,208229,0.2663916127752938,0.2733658983170975
B0,10,2,2,clean_test,1,68845,0.08807481465845343,0.11744999836173539
B0,10,2,2,clean_test,2,123806,0.1583875445363423,0.1606497483224539
B0,10,2,2,clean_test,3,110606,0.14150051492647106,0.1282571840686893
B0,10,2,2,clean_test,4,56015,0.07166113360582858,0.052980828790133105
B0,10,2,2,clean_test,5,2661,0.0034042716508990425,0.0026123066911630612
B0,10,2,2,clean_test,6,31874,0.04077705922613908,0.050343890479789155
B0,10,2,2,clean_test,7,93893,0.12011923266360909,0.1316225722756532
B0,10,2,2,clean_test,8,12990,0.016618372320623284,0.017818427930688847
B0,10,2,2,clean_test,9,201629,0.25794809797035817,0.2720635166133829
B0,10,2,2,clean_test,10,79346,0.101508958441276,0.06620152646631114
B0,10,2,3,clean_test,1,195036,0.24951353840839746,0.25749645858813286
B0,10,2,3,clean_test,2,23595,0.030185565427644834,0.02880188134502823
B0,10,2,3,clean_test,3,42051,0.0537967031912648,0.06572426315721464
B0,10,2,3,clean_test,4,18997,0.024303250113539687,0.016375051593179594
B0,10,2,3,clean_test,5,73790,0.0944010541600302,0.12824117667965854
B0,10,2,3,clean_test,6,100038,0.12798065667517414,0.08362880485028694
B0,10,2,3,clean_test,7,137653,0.17610229446118222,0.16404694176385998
B0,10,2,3,clean_test,8,176275,0.22551220791515547,0.2354836094938461
B0,10,2,3,clean_test,9,534,0.0006831571069447909,0.0006034947512706028
B0,10,2,3,clean_test,10,13696,0.0175215725406664,0.01959831777752247
B0,10,3,1,clean_test,1,478,0.00071590966957324,0.0009024198392567299
B0,10,3,1,clean_test,2,37300,0.05586491773029676,0.06958273743107621
B0,10,3,1,clean_test,3,129003,0.19321024080325663,0.1887886210667154
B0,10,3,1,clean_test,4,3635,0.005444208470499429,0.009527685370580605
B0,10,3,1,clean_test,5,256951,0.38484038808894055,0.3389478920255858
B0,10,3,1,clean_test,6,11682,0.017496353054298305,0.03099137670929924
B0,10,3,1,clean_test,7,16086,0.024092307415805727,0.03127294528427975
B0,10,3,1,clean_test,8,2105,0.0031526984402754604,0.005318230224775874
B0,10,3,1,clean_test,9,176367,0.2641482022879155,0.2703068658552813
B0,10,3,1,clean_test,10,34075,0.05103477403913839,0.05436122619314905
B0,10,3,2,clean_test,1,221900,0.33234384033117564,0.31000865248493514
