condition,fold,repeat,sample_id,k,scope,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts,cluster_fractions
A1,3,1,KYOw02790,10,clean_test,26249,8,0.2583717474951427,False,"[0, 6782, 1864, 3614, 3168, 1864, 0, 314, 6195, 2448]","[0.0, 0.2583717474951427, 0.07101222903729666, 0.1376814354832565, 0.12069031201188617, 0.07101222903729666, 0.0, 0.01196236047087508, 0.23600899081869786, 0.0932606956455484]"
A1,3,1,KYOw02790,12,clean_test,26249,11,0.21570345536972838,False,"[5174, 2377, 2475, 107, 141, 2568, 271, 5662, 3109, 0, 3065, 1300]","[0.197112270943655, 0.09055583069831231, 0.09428930625928607, 0.004076345765552974, 0.005371633205074479, 0.09783229837327136, 0.010324202826774353, 0.21570345536972838, 0.11844260733742237, 0.0, 0.11676635300392396, 0.04952569621699874]"
A1,3,1,KYOw02790,14,clean_test,26249,13,0.19585508019353118,False,"[5141, 0, 223, 3374, 3508, 143, 975, 812, 4712, 2814, 260, 185, 2249, 1853]","[0.19585508019353118, 0.0, 0.00849556173568517, 0.1285382300278106, 0.1336431864071012, 0.0054478265838698615, 0.037144272162749056, 0.030934511790925368, 0.1795116004419216, 0.10720408396510343, 0.009905139243399749, 0.007047887538572898, 0.08567945445540782, 0.07059316545392205]"
A1,3,1,KYOw16702,2,clean_test,33939,2,0.8462830372138248,False,"[5217, 28722]","[0.1537169627861752, 0.8462830372138248]"
A1,3,1,KYOw16702,4,clean_test,33939,4,0.7773063437343469,False,"[102, 26381, 2601, 4855]","[0.0030053920268717405, 0.7773063437343469, 0.07663749668522939, 0.14305076755355195]"
A1,3,1,KYOw16702,6,clean_test,33939,6,0.4206664898789004,False,"[7, 1334, 7853, 9387, 1081, 14277]","[0.0002062523940010018, 0.039305813371048055, 0.2313857214414096, 0.2765844603553434, 0.031851262559297565, 0.4206664898789004]"
A1,3,1,KYOw16702,8,clean_test,33939,7,0.5598868558295766,False,"[0, 11, 163, 3611, 677, 9609, 19002, 866]","[0.0, 0.0003241109048587171, 0.004802734317451899, 0.1063967706768025, 0.019947552962668317, 0.2831256077079466, 0.5598868558295766, 0.025516367600695367]"
A1,3,1,KYOw16702,10,clean_test,33939,9,0.39258669966704973,False,"[46, 13324, 21, 3283, 10, 565, 0, 427, 5887, 10376]","[0.001355372874863726, 0.39258669966704973, 0.0006187571820030054, 0.09673237278646984, 0.0002946462771442883, 0.016647514658652288, 0.0, 0.01258139603406111, 0.17345826335484252, 0.30572497716491354]"
A1,3,1,KYOw16702,12,clean_test,33939,11,0.37941601107870004,False,"[603, 81, 12877, 57, 997, 1111, 463, 7591, 2690, 0, 7463, 6]","[0.017767170511800583, 0.002386634844868735, 0.37941601107870004, 0.0016794837797224431, 0.029376233831285542, 0.032735201390730426, 0.013642122631780548, 0.22366598898022924, 0.07925984855181355, 0.0, 0.21989451663278234, 0.00017678776628657296]"
A1,3,1,KYOw16702,14,clean_test,33939,13,0.38230354459471405,False,"[268, 0, 527, 8652, 12975, 1956, 5, 312, 2884, 2907, 2425, 174, 170, 684]","[0.007896520227466926, 0.0, 0.015527858805503992, 0.25492795898523823, 0.38230354459471405, 0.057632811809422785, 0.00014732313857214414, 0.009192963846901794, 0.08497598632841274, 0.08565367276584461, 0.07145172220748991, 0.005126845222310616, 0.005008986711452901, 0.02015380535666932]"
