priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,included,mean,repeat_1,repeat_2,repeat_3,undefined_reason
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02767,5,True,-0.008314450271427631,-0.007336735725402832,-0.015933513641357422,-0.0016731023788452148,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02768,4,True,-0.004977524280548096,-0.007789552211761475,-0.001869499683380127,-0.0052735209465026855,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02769,1,True,0.0016344785690307617,0.0011407136917114258,0.0016835331916809082,0.002079188823699951,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02770,2,True,-0.0031205613631755114,0.009891688823699951,-0.007209420204162598,-0.012043952941894531,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02771,2,True,-0.001974384067580104,0.0009917616844177246,-0.0004170536994934082,-0.006497859954833984,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02772,4,True,0.00048055252409540117,0.013595163822174072,-0.0016165971755981445,-0.010536909103393555,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02773,5,True,-0.016713818535208702,-0.0008912086486816406,-0.06072711944580078,0.011476874351501465,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02774,1,True,-0.0019509991398081183,-0.0011124014854431152,-7.933378219604492e-05,-0.004661262035369873,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02775,1,True,0.001664837240241468,0.0012802481651306152,-0.0021842122077941895,0.005898475646972656,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02776,1,True,0.004478792194277048,-0.01242905855178833,0.03379327058792114,-0.00792783498764038,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02777,5,True,-0.025972941890358925,-0.007028102874755859,-0.05027198791503906,-0.020618736743927002,
