priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,repeat_a,repeat_b,value,undefined_reason,used_clusters,degeneracy_flags
3,ARI,,ari,ARI,A0,condition,2,KYOw02774,1,2,3,0.005425256676971912,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02775,1,1,2,-0.0172911137342453,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02775,1,1,3,0.9405239224433899,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02775,1,2,3,-0.014518402516841888,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02776,1,1,2,0.005197063088417053,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02776,1,1,3,0.882502019405365,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02776,1,2,3,0.004729877226054668,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02777,5,1,2,0.6103554368019104,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02777,5,1,3,0.902263343334198,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02777,5,2,3,0.6376705169677734,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02780,3,1,2,-0.020178811624646187,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02780,3,1,3,-0.02140265516936779,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02780,3,2,3,0.951051652431488,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02783,5,1,2,-0.013057781383395195,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02783,5,1,3,0.6538548469543457,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02783,5,2,3,-0.024081803858280182,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02784,3,1,2,-0.006466974504292011,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02784,3,1,3,-0.00684440229088068,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02784,3,2,3,0.9667645692825317,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02787,4,1,2,0.4231821298599243,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02787,4,1,3,0.138911172747612,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02787,4,2,3,0.294907808303833,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02788,5,1,2,0.023463303223252296,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02788,5,1,3,0.2675628662109375,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02788,5,2,3,0.07826344668865204,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02789,2,1,2,0.0,,"[1, 2]","[""repeat_1_single_cluster""]"
3,ARI,,ari,ARI,A0,condition,2,KYOw02789,2,1,3,0.0,,"[1, 2]","[""repeat_1_single_cluster""]"
3,ARI,,ari,ARI,A0,condition,2,KYOw02789,2,2,3,0.09616360068321228,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02790,3,1,2,-0.0005789459100924432,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02790,3,1,3,-0.0007190264877863228,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02790,3,2,3,0.950930655002594,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16662,4,1,2,0.3845386505126953,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16662,4,1,3,0.3614081144332886,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16662,4,2,3,0.37401166558265686,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16666,4,1,2,0.49542948603630066,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16666,4,1,3,0.4183477461338043,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16666,4,2,3,0.5930256843566895,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16700,4,1,2,0.42155715823173523,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16700,4,1,3,0.33499497175216675,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16700,4,2,3,0.5031872987747192,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16702,3,1,2,0.034805815666913986,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16702,3,1,3,0.03344683349132538,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16702,3,2,3,0.9723804593086243,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16711,5,1,2,-0.0501997172832489,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16711,5,1,3,0.6423359513282776,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16711,5,2,3,-0.053236111998558044,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16714,2,1,2,0.0023255234118551016,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16714,2,1,3,-0.002237002830952406,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16714,2,2,3,1.106529452954419e-06,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16716,2,1,2,0.4414292871952057,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16716,2,1,3,0.030921680852770805,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16716,2,2,3,0.027680598199367523,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16719,1,1,2,-0.006151976995170116,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16719,1,1,3,0.9229578971862793,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw16719,1,2,3,-0.007978607900440693,,"[2, 2]",[]
