feature_index,mean,pc1,pc2
193,-1.0916375,0.035248943,0.039954513
194,-1.0649652,0.032040276,0.03558612
195,-1.0378008,0.029102715,0.03208463
196,-1.0085201,0.026075505,0.028978439
197,-0.98004615,0.023107462,0.025961954
198,-0.95380956,0.020506287,0.023427112
199,-0.93027794,0.018303128,0.02179311
200,-0.91030246,0.016376063,0.020360656
201,-0.89366174,0.01505711,0.020390868
202,-0.8844114,0.014106829,0.020178974
203,-0.88106036,0.014083174,0.021640055
204,-0.88548356,0.014720049,0.023653407
205,-0.8952341,0.016055768,0.026371133
206,-0.9102429,0.018016106,0.029754877
207,-0.9297345,0.020325953,0.03334968
208,-0.9483533,0.022701373,0.036823824
209,-0.9715365,0.025425263,0.04019269
210,-0.9907696,0.027882485,0.04332352
211,-1.0109068,0.030343242,0.04634056
212,-1.0283818,0.03274933,0.049051195
213,-1.0426439,0.034928937,0.051700566
214,-1.0537553,0.036833245,0.053838138
215,-1.0624378,0.038391985,0.055373143
216,-1.0730233,0.03949943,0.056060866
217,-1.0735341,0.03974969,0.056012724
218,-1.0810524,0.04006168,0.055364076
219,-1.0837085,0.040255185,0.05492025
220,-1.0842301,0.04013335,0.05404361
221,-1.0827938,0.0398159,0.052878104
222,-1.0792378,0.039382547,0.051807094
223,-1.0754213,0.038705036,0.05073832
224,-1.0695516,0.037901852,0.049428202
225,-1.0650086,0.036911525,0.048876468
226,-1.055683,0.03559096,0.047757626
227,-1.0476594,0.034461334,0.046435006
228,-1.0394047,0.033041913,0.04437149
229,-1.0301098,0.031541277,0.0419581
230,-1.0197083,0.03040768,0.03975996
231,-1.0073549,0.029367626,0.037334964
232,-0.9993746,0.028358338,0.03466903
233,-0.98923254,0.027549598,0.03287258
234,-0.9817058,0.026908832,0.03156134
235,-0.9725767,0.026323047,0.031143658
236,-0.9656225,0.0258251,0.030947424
237,-0.9611351,0.025398714,0.030836955
238,-0.9555352,0.024890793,0.03075636
239,-0.94964576,0.02410286,0.029564431
240,-0.9443857,0.023868117,0.02984984
241,-0.95356286,0.024344886,0.030842673
242,-0.96712774,0.025917642,0.03353701
243,-0.9886816,0.028394943,0.037580077
244,-1.0171502,0.03207442,0.043970518
245,-1.0540526,0.0371105,0.053701587
246,-1.1025753,0.043509264,0.065921515
247,-1.1518656,0.051262494,0.08245238
248,-1.198363,0.05744149,0.096606836
249,-1.2350929,0.06288664,0.11089198
250,-1.2614504,0.06707068,0.12111118
251,-1.2729211,0.0704791,0.13157476
252,-1.2769003,0.07354508,0.14270575
253,-1.2806426,0.07669503,0.1537177
254,-1.2834967,0.08010865,0.16504331
255,-1.2947085,0.082356535,0.1708897
