condition,pc1,pc2,pixels
B0,-0.13692381413635069,-0.024844296425037493,793
B0,-0.13692381413635069,0.016841604241086494,999
B0,-0.13692381413635069,0.05852750490721048,499
B0,-0.13692381413635069,0.10021340557333447,133
B0,-0.13692381413635069,0.14189930623945846,44
B0,-0.13692381413635069,0.18358520690558255,9
B0,-0.13692381413635069,0.22527110757170643,3
B0,-0.11310329942235309,-0.14990199842340957,4
B0,-0.11310329942235309,-0.10821609775728558,72
B0,-0.11310329942235309,-0.06653019709116148,854
B0,-0.11310329942235309,-0.024844296425037493,1018
B0,-0.11310329942235309,0.016841604241086494,1215
B0,-0.11310329942235309,0.05852750490721048,540
B0,-0.11310329942235309,0.10021340557333447,146
B0,-0.11310329942235309,0.14189930623945846,50
B0,-0.11310329942235309,0.18358520690558255,16
B0,-0.08928278470835549,-0.14990199842340957,2
B0,-0.08928278470835549,-0.10821609775728558,34
B0,-0.08928278470835549,-0.06653019709116148,1573
B0,-0.08928278470835549,-0.024844296425037493,1495
B0,-0.08928278470835549,0.016841604241086494,1738
B0,-0.08928278470835549,0.05852750490721048,448
B0,-0.08928278470835549,0.10021340557333447,131
B0,-0.08928278470835549,0.14189930623945846,71
B0,-0.08928278470835549,0.18358520690558255,7
B0,-0.06546226999435789,-0.19158789908953355,1
B0,-0.06546226999435789,-0.14990199842340957,1
B0,-0.06546226999435789,-0.10821609775728558,18
B0,-0.06546226999435789,-0.06653019709116148,2284
B0,-0.06546226999435789,-0.024844296425037493,2358
B0,-0.06546226999435789,0.016841604241086494,2479
B0,-0.06546226999435789,0.05852750490721048,430
B0,-0.06546226999435789,0.10021340557333447,116
B0,-0.06546226999435789,0.14189930623945846,66
B0,-0.06546226999435789,0.18358520690558255,9
B0,-0.04164175528036029,-0.10821609775728558,15
B0,-0.04164175528036029,-0.06653019709116148,2231
B0,-0.04164175528036029,-0.024844296425037493,4445
B0,-0.04164175528036029,0.016841604241086494,3317
B0,-0.04164175528036029,0.05852750490721048,384
B0,-0.04164175528036029,0.10021340557333447,123
B0,-0.04164175528036029,0.14189930623945846,61
B0,-0.04164175528036029,0.18358520690558255,14
B0,-0.04164175528036029,0.22527110757170643,2
B0,-0.017821240566362473,-0.10821609775728558,9
B0,-0.017821240566362473,-0.06653019709116148,2615
B0,-0.017821240566362473,-0.024844296425037493,7622
B0,-0.017821240566362473,0.016841604241086494,4289
B0,-0.017821240566362473,0.05852750490721048,478
B0,-0.017821240566362473,0.10021340557333447,107
B0,-0.017821240566362473,0.14189930623945846,53
B0,-0.017821240566362473,0.18358520690558255,6
B0,0.005999274147635125,-0.14990199842340957,1
B0,0.005999274147635125,-0.10821609775728558,6
B0,0.005999274147635125,-0.06653019709116148,1185
B0,0.005999274147635125,-0.024844296425037493,14571
