point_id,pc1,pc2,cluster
157,0.21293723002755177,-0.08006315262993158,8
158,0.1820026329985513,-0.15044788495031441,5
159,0.15876754494020884,-0.09455876134330321,5
160,0.13035808558751633,-0.03990738941957331,6
161,0.06062997466292003,0.026825122943791774,6
162,0.08833222366016386,-0.13914607184751138,5
163,-0.047431321501603674,0.04433330203286885,6
164,-0.005000699221261673,-0.019784464511871103,6
165,-0.023148493306871576,-0.029956158323954818,6
166,-0.03438322286030682,-0.028966147332155856,6
167,0.0011850566053888678,-0.05113698409374315,6
168,0.028732375304974245,-0.06994139261755003,6
169,-0.014419029299972075,-0.01773100239577524,6
170,-0.0033069439932663647,0.01470243225314849,6
171,0.00843092559181885,0.008242487787553487,6
172,0.13150380996936228,-0.06437088611283748,6
173,0.1296820351116438,-0.03856764028862669,6
174,0.10851453956726603,-0.08628990523858077,5
175,0.10584466404012147,-0.2507213076946693,5
176,0.1438572983132852,-0.11979743250376912,5
177,0.08465969361805387,0.029698588076911198,6
178,0.24538447924260748,-0.031685866642365224,8
179,0.03286047480146992,0.025385968563561956,6
180,0.030394049783625504,-0.04387254314894204,6
181,-0.004972841238455761,-0.021823576354109586,6
182,-0.061509974344058804,0.04377560215765433,6
183,-0.035355234658452805,-0.0220293278176677,6
184,-0.018787897936134834,-0.044748049257681805,6
185,0.002907108732878416,-0.06173374920853339,6
186,-0.06912088452496479,-0.012598045486490905,1
187,-0.020502794321238582,0.03045661531063834,6
188,-0.027885594062735886,0.026615132753759208,6
189,0.16778499715889958,-0.11525347280630377,5
190,0.10838985999638379,-0.26334215895312907,5
191,0.20131944793366097,-0.14169234976635936,5
192,0.18208036459512622,-0.11027184835071235,5
193,0.0739427179165279,0.029740665919037262,6
194,0.16769870073440457,-0.04102138372811781,8
195,0.1585058129534631,-0.07186770676859597,5
196,0.1115093030527578,-0.07169417025219646,6
197,0.009475187360188597,-0.0013237101972537468,6
198,-0.0036450436204752412,-0.05910309455770574,6
199,0.02237424812635147,-0.06261158558142799,6
200,0.027622810709096557,-0.040725582445664904,6
201,-0.03518459507006089,0.01034831387481161,6
202,0.018262300412751398,-0.043340616414757865,6
203,0.037696130099421105,-0.07184518077303989,6
204,-0.04761688765023653,0.058799124999971655,6
205,-0.01819913296860859,-0.059049551069318224,6
206,0.00035923341593713243,-0.06181824950650888,6
207,0.03343211921450731,-0.10566704513837999,5
208,-0.014406623994654866,-0.05601329641948713,6
209,-0.02874968162434899,-0.0027610765586226493,6
