contrast,cluster,kind,wavelength_nm,difference,aggregation
B0-M00,1,reflectance,1650.3005882352943,-0.002816585936950944,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1655.7613333333334,-0.0028528565754913915,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1661.2220784313727,-0.0028911249600571676,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1666.682823529412,-0.0029088127443365752,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1672.1435686274513,-0.0029423845461731823,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1677.6043137254906,-0.002944947339622417,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1683.0650588235296,-0.0031796948647244694,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1688.5258039215687,-0.0033753670902935684,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1693.986549019608,-0.003544256319410133,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1699.4472941176473,-0.003703166651560008,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1704.9080392156866,-0.003809303252530316,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1710.3687843137257,-0.0038426164746639957,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1715.829529411765,-0.0038467906447206546,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1721.290274509804,-0.003712826241662026,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1726.7510196078433,-0.003887158285312997,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1732.2117647058826,-0.003853475961862529,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1737.672509803922,-0.0038361127866868294,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1743.133254901961,-0.0038394470595264907,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1748.594,-0.003830236113711083,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1754.0547450980393,-0.0038009257881101433,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1759.5154901960786,-0.0036983127212413813,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1764.976235294118,-0.0036389730792046326,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1770.4369803921572,-0.0036096096924678744,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1775.8977254901963,-0.0034940953995011848,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1781.3584705882354,-0.003449448857970605,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1786.8192156862747,-0.003460001980633509,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1792.279960784314,-0.003467561078329129,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1797.7407058823533,-0.0034910943778379555,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1803.2014509803923,-0.003397029163594245,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1808.6621960784316,-0.0034256691952139207,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1814.1229411764707,-0.0035041716689961366,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1819.58368627451,-0.003684475869712489,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1825.0444313725493,-0.003691053098020647,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1830.5051764705886,-0.0035617896072638877,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1835.9659215686277,-0.0035432748550361937,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1841.4266666666667,-0.003581254799451594,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1846.887411764706,-0.0035513887323778692,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1852.3481568627453,-0.0033748290862505304,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1857.8089019607846,-0.003392683566414756,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1863.269647058824,-0.0034005186473774485,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1868.730392156863,-0.003379541981050671,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1874.191137254902,-0.0033352212456380648,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1879.6518823529414,-0.0032044667832159535,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1885.1126274509807,-0.0030796080765330136,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1890.57337254902,-0.0029151067745777914,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1896.034117647059,-0.00289825521058118,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1901.4948627450983,-0.0015523581527024377,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1906.9556078431374,-0.001323824701023657,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1912.4163529411767,-0.0016513054703199415,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1917.877098039216,-0.000990478435252684,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1923.3378431372553,-0.0006778984975778779,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1928.7985882352943,-0.0006508200094364758,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1934.2593333333336,-0.0006383477120158743,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1939.7200784313727,-0.0006297215766663811,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1945.180823529412,-0.000690371430008857,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1950.6415686274513,-0.0007424052279387527,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1956.1023137254906,-0.0007814811808792288,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1961.5630588235294,-0.0009247915749942548,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1967.0238039215687,-0.0012411520796021813,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1972.484549019608,-0.0013810936670521912,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1977.9452941176473,-0.001386672240741682,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1983.4060392156866,-0.0015097024084349542,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1988.866784313726,-0.0017492406799736737,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1994.3275294117648,-0.0019434723935279896,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1999.788274509804,-0.002094470119102021,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2005.2490196078434,-0.0023879298413649885,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2010.7097647058827,-0.0025205525353166336,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2016.170509803922,-0.0025736301967431152,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2021.6312549019613,-0.002605562610216716,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2027.092,-0.0026304208471069623,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2032.5527450980394,-0.002630792268453752,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2038.0134901960787,-0.0026505150705176117,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2043.474235294118,-0.0027215593302864494,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,2048.9349803921573,-0.0027578409638885915,difference of equal-sample representative means; not paired
