sample_id,condition,cluster,pixels,fraction,sample_pixels,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts
KYOw02751,B0,6,30534,0.4272341854510347,71469,71469,7,0.4272341854510347,False,"[29503, 0, 105, 396, 5216, 30534, 3018, 2697]"
KYOw02752,B0,7,19235,0.16413096345344858,117193,117193,8,0.5849325471657864,False,"[68550, 160, 175, 55, 4040, 23554, 19235, 1424]"
KYOw02752,B0,4,55,0.0004693113069893253,117193,117193,8,0.5849325471657864,False,"[68550, 160, 175, 55, 4040, 23554, 19235, 1424]"
KYOw02752,B0,5,4040,0.03447304873157953,117193,117193,8,0.5849325471657864,False,"[68550, 160, 175, 55, 4040, 23554, 19235, 1424]"
KYOw02752,B0,8,1424,0.012150896384596349,117193,117193,8,0.5849325471657864,False,"[68550, 160, 175, 55, 4040, 23554, 19235, 1424]"
KYOw02752,B0,1,68550,0.5849325471657864,117193,117193,8,0.5849325471657864,False,"[68550, 160, 175, 55, 4040, 23554, 19235, 1424]"
KYOw02752,B0,2,160,0.001365269256696219,117193,117193,8,0.5849325471657864,False,"[68550, 160, 175, 55, 4040, 23554, 19235, 1424]"
KYOw02752,B0,3,175,0.0014932632495114897,117193,117193,8,0.5849325471657864,False,"[68550, 160, 175, 55, 4040, 23554, 19235, 1424]"
KYOw02752,B0,6,23554,0.20098470045139213,117193,117193,8,0.5849325471657864,False,"[68550, 160, 175, 55, 4040, 23554, 19235, 1424]"
KYOw02754,B0,7,2195,0.04646289318826468,47242,47242,7,0.48389145252106175,False,"[22860, 0, 261, 133, 2512, 18057, 2195, 1224]"
KYOw02754,B0,4,133,0.002815291477922188,47242,47242,7,0.48389145252106175,False,"[22860, 0, 261, 133, 2512, 18057, 2195, 1224]"
KYOw02754,B0,5,2512,0.05317302400406418,47242,47242,7,0.48389145252106175,False,"[22860, 0, 261, 133, 2512, 18057, 2195, 1224]"
KYOw02754,B0,8,1224,0.02590914863892299,47242,47242,7,0.48389145252106175,False,"[22860, 0, 261, 133, 2512, 18057, 2195, 1224]"
KYOw02754,B0,1,22860,0.48389145252106175,47242,47242,7,0.48389145252106175,False,"[22860, 0, 261, 133, 2512, 18057, 2195, 1224]"
KYOw02754,B0,2,0,0.0,47242,47242,7,0.48389145252106175,False,"[22860, 0, 261, 133, 2512, 18057, 2195, 1224]"
KYOw02754,B0,3,261,0.005524744930358579,47242,47242,7,0.48389145252106175,False,"[22860, 0, 261, 133, 2512, 18057, 2195, 1224]"
KYOw02754,B0,6,18057,0.3822234452394056,47242,47242,7,0.48389145252106175,False,"[22860, 0, 261, 133, 2512, 18057, 2195, 1224]"
KYOw02756,B0,7,11932,0.11801358956353171,101107,101107,8,0.5573699150405016,False,"[56354, 51, 531, 93, 4367, 24654, 11932, 3125]"
KYOw02756,B0,4,93,0.0009198176189581334,101107,101107,8,0.5573699150405016,False,"[56354, 51, 531, 93, 4367, 24654, 11932, 3125]"
KYOw02756,B0,5,4367,0.04319186604290504,101107,101107,8,0.5573699150405016,False,"[56354, 51, 531, 93, 4367, 24654, 11932, 3125]"
KYOw02756,B0,8,3125,0.030907850099399645,101107,101107,8,0.5573699150405016,False,"[56354, 51, 531, 93, 4367, 24654, 11932, 3125]"
KYOw02756,B0,1,56354,0.5573699150405016,101107,101107,8,0.5573699150405016,False,"[56354, 51, 531, 93, 4367, 24654, 11932, 3125]"
KYOw02756,B0,2,51,0.0005044161136222022,101107,101107,8,0.5573699150405016,False,"[56354, 51, 531, 93, 4367, 24654, 11932, 3125]"
KYOw02756,B0,3,531,0.005251861888889988,101107,101107,8,0.5573699150405016,False,"[56354, 51, 531, 93, 4367, 24654, 11932, 3125]"
