condition,reference_cluster,original_target_cluster,display_target_cluster,snv_cosine,pixel_count,assigned
M11,2,1,1,0.9750882420732331,8,False
M11,3,1,1,0.9057270801666084,0,False
M11,4,1,1,0.869995098985292,0,False
M11,5,1,1,0.9909250917425654,13684,False
M11,6,1,1,0.9987854174427842,10585,False
M11,7,1,1,0.9969481361765612,59109,False
M11,8,1,1,0.9810613035917058,293,False
M11,1,2,2,0.9773064110085232,71,False
M11,2,2,2,0.9996127683851842,86232,True
M11,3,2,2,0.8042883048052951,0,False
M11,4,2,2,0.7707979527013379,0,False
M11,5,2,2,0.9422585203944343,22,False
M11,6,2,2,0.9689223046006061,2589,False
M11,7,2,2,0.9876628504627247,786,False
M11,8,2,2,0.9232118961397799,9,False
M11,1,3,3,0.9037519852115197,0,False
M11,2,3,3,0.7989648783452182,0,False
M11,3,3,3,0.9999858513942566,85002,True
M11,4,3,3,0.98304422838074,240,False
M11,5,3,3,0.9516546935143796,649,False
M11,6,3,3,0.9178771561468255,2,False
M11,7,3,3,0.8716925468930259,0,False
M11,8,3,3,0.9649260039361593,815,False
M11,1,4,4,0.882737832711427,0,False
M11,2,4,4,0.7903938075073349,0,False
M11,3,4,4,0.9837391525079114,501,False
M11,4,4,4,0.9994129184494501,139478,True
M11,5,4,4,0.9275128743251795,2,False
M11,6,4,4,0.8979486414351523,0,False
M11,7,4,4,0.8545723872796659,1,False
M11,8,4,4,0.9515820611980566,1546,False
M11,1,5,5,0.9922636087691303,43803,False
M11,2,5,5,0.9424996260711711,1,False
M11,3,5,5,0.9503864862864799,1472,False
M11,4,5,5,0.9153653250956783,0,False
M11,5,5,5,0.9999534415282936,504116,True
M11,6,5,5,0.9955685590000036,25994,False
M11,7,5,5,0.980485738391489,25,False
M11,8,5,5,0.9953518917710252,1739,False
M11,1,6,7,0.9962940770506121,250,False
M11,2,6,7,0.9863078310875312,1850,False
M11,3,6,7,0.8705902508123289,1,False
M11,4,6,7,0.8371656533079198,14,False
M11,5,6,7,0.9769383061888711,19,False
M11,6,6,7,0.9934466634189685,989,False
M11,7,6,7,0.9999661026135738,459045,True
M11,8,6,7,0.966000111643964,7309,False
M11,1,7,6,0.9991326110006314,45306,False
M11,2,7,6,0.9683186639622796,67,False
M11,3,7,6,0.9164206936455557,0,False
M11,4,7,6,0.8828982658231459,0,False
M11,5,7,6,0.9937379148024663,3683,False
M11,6,7,6,0.9999579807870549,815922,True
M11,7,7,6,0.9952538573054438,66336,False
M11,8,7,6,0.9867539173275017,6209,False
M11,1,8,8,0.9816878201132376,0,False
M11,2,8,8,0.9214923032470408,1,False
M11,3,8,8,0.9658816180750237,1936,False
M11,4,8,8,0.9432653051273914,260,False
M11,5,8,8,0.996192394745108,3671,False
M11,6,8,8,0.988537280949864,16563,False
M11,7,8,8,0.9683902696755218,212,False
M11,8,8,8,0.9999858977520194,265791,True
