sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw02771,B1,4,1871,1871,0,True
KYOw02771,B1,5,23997,23997,0,True
KYOw02771,B1,3,8442,8442,0,True
KYOw02771,B1,7,589,589,0,True
KYOw02771,B1,2,20392,20392,0,True
KYOw02771,B1,8,13,13,0,True
KYOw02772,B1,1,7491,7491,0,True
KYOw02772,B1,6,3826,3826,0,True
KYOw02772,B1,4,26474,26474,0,True
KYOw02772,B1,5,4747,4747,0,True
KYOw02772,B1,3,3830,3830,0,True
KYOw02772,B1,7,5088,5088,0,True
KYOw02772,B1,2,21222,21221,1,True
KYOw02772,B1,8,533,533,0,True
KYOw02773,B1,1,748,748,0,True
KYOw02773,B1,6,706,706,0,True
KYOw02773,B1,4,2474,2474,0,True
KYOw02773,B1,5,207,207,0,True
KYOw02773,B1,3,596,596,0,True
KYOw02773,B1,7,2367,2367,0,True
KYOw02773,B1,2,44818,44818,0,True
KYOw02773,B1,8,702,702,0,True
KYOw02774,B1,1,4098,4098,0,True
KYOw02774,B1,6,7023,7023,0,True
KYOw02774,B1,4,1566,1566,0,True
KYOw02774,B1,5,3599,3599,0,True
KYOw02774,B1,3,3324,3324,0,True
KYOw02774,B1,7,320,320,0,True
KYOw02774,B1,2,17752,17750,2,True
KYOw02774,B1,8,1245,1245,0,True
KYOw02775,B1,1,836,836,0,True
KYOw02775,B1,6,127,127,0,True
KYOw02775,B1,4,24407,24407,0,True
KYOw02775,B1,5,390,390,0,True
KYOw02775,B1,3,6220,6220,0,True
KYOw02775,B1,7,11289,11289,0,True
KYOw02775,B1,2,7361,7361,0,True
KYOw02775,B1,8,1075,1075,0,True
KYOw02776,B1,1,11309,11309,0,True
KYOw02776,B1,6,1357,1357,0,True
KYOw02776,B1,4,30246,30246,0,True
KYOw02776,B1,5,11999,11999,0,True
KYOw02776,B1,3,29070,29070,0,True
KYOw02776,B1,7,871,871,0,True
KYOw02776,B1,2,6095,6095,0,True
KYOw02776,B1,8,528,528,0,True
KYOw02777,B1,1,26047,26047,0,True
KYOw02777,B1,6,1917,1917,0,True
KYOw02777,B1,4,8170,8170,0,True
KYOw02777,B1,5,27856,27856,0,True
KYOw02777,B1,3,44559,44559,0,True
KYOw02777,B1,7,728,728,0,True
KYOw02777,B1,2,11395,11395,0,True
KYOw02777,B1,8,1015,1015,0,True
KYOw02780,B1,1,8011,8011,0,True
KYOw02780,B1,6,8417,8416,1,True
KYOw02780,B1,4,426,426,0,True
KYOw02780,B1,5,9662,9662,0,True
KYOw02780,B1,3,8229,8229,0,True
KYOw02780,B1,7,88,88,0,True
KYOw02780,B1,2,20518,20517,1,True
