band,wavelength_nm
band_082,1360.8810980392159
band_083,1366.341843137255
band_084,1371.8025882352943
band_085,1377.2633333333333
band_086,1382.7240784313726
band_087,1388.184823529412
band_088,1393.6455686274512
band_089,1399.1063137254903
band_090,1404.5670588235296
band_091,1410.0278039215686
band_092,1415.488549019608
band_093,1420.9492941176472
band_094,1426.4100392156865
band_095,1431.8707843137256
band_096,1437.3315294117647
band_097,1442.792274509804
band_098,1448.2530196078433
band_099,1453.7137647058826
band_100,1459.1745098039219
band_101,1464.635254901961
band_102,1470.096
band_103,1475.5567450980393
band_104,1481.0174901960786
band_105,1486.478235294118
band_106,1491.938980392157
band_107,1497.3997254901963
band_108,1502.8604705882353
band_109,1508.3212156862746
band_110,1513.781960784314
band_111,1519.2427058823532
band_112,1524.7034509803923
band_113,1530.1641960784316
band_114,1535.6249411764707
band_115,1541.08568627451
band_116,1546.5464313725493
band_117,1552.0071764705885
band_118,1557.4679215686276
band_119,1562.9286666666667
band_120,1568.389411764706
band_121,1573.8501568627453
band_122,1579.3109019607846
band_123,1584.7716470588239
band_124,1590.232392156863
band_125,1595.693137254902
band_126,1601.1538823529413
band_127,1606.6146274509806
band_128,1612.07537254902
band_129,1617.536117647059
band_130,1622.9968627450983
band_131,1628.4576078431373
band_132,1633.9183529411766
band_133,1639.379098039216
band_134,1644.8398431372552
band_135,1650.3005882352943
band_136,1655.7613333333334
band_137,1661.2220784313727
band_138,1666.682823529412
band_139,1672.1435686274513
band_140,1677.6043137254906
band_141,1683.0650588235296
band_142,1688.5258039215687
band_143,1693.986549019608
band_144,1699.4472941176473
band_145,1704.9080392156866
band_146,1710.3687843137257
band_147,1715.829529411765
band_148,1721.290274509804
band_149,1726.7510196078433
band_150,1732.2117647058826
band_151,1737.672509803922
band_152,1743.133254901961
band_153,1748.594
band_154,1754.0547450980393
band_155,1759.5154901960786
band_156,1764.976235294118
band_157,1770.4369803921572
band_158,1775.8977254901963
band_159,1781.3584705882354
band_160,1786.8192156862747
band_161,1792.279960784314
band_162,1797.7407058823533
band_163,1803.2014509803923
band_164,1808.6621960784316
band_165,1814.1229411764707
band_166,1819.58368627451
band_167,1825.0444313725493
band_168,1830.5051764705886
band_169,1835.9659215686277
band_170,1841.4266666666667
band_171,1846.887411764706
band_172,1852.3481568627453
band_173,1857.8089019607846
band_174,1863.269647058824
band_175,1868.730392156863
band_176,1874.191137254902
band_177,1879.6518823529414
band_178,1885.1126274509807
band_179,1890.57337254902
band_180,1896.034117647059
band_181,1901.4948627450983
band_182,1906.9556078431374
band_183,1912.4163529411767
band_184,1917.877098039216
band_185,1923.3378431372553
band_186,1928.7985882352943
band_187,1934.2593333333336
band_188,1939.7200784313727
band_189,1945.180823529412
band_190,1950.6415686274513
band_191,1956.1023137254906
band_192,1961.5630588235294
band_193,1967.0238039215687
band_194,1972.484549019608
band_195,1977.9452941176473
band_196,1983.4060392156866
band_197,1988.866784313726
band_198,1994.3275294117648
band_199,1999.788274509804
band_200,2005.2490196078434
band_201,2010.7097647058827
band_202,2016.170509803922
band_203,2021.6312549019613
band_204,2027.092
band_205,2032.5527450980394
band_206,2038.0134901960787
band_207,2043.474235294118
band_208,2048.9349803921573
band_209,2054.3957254901966
band_210,2059.8564705882354
band_211,2065.3172156862747
band_212,2070.777960784314
band_213,2076.2387058823533
band_214,2081.6994509803926
band_215,2087.1601960784315
band_216,2092.6209411764708
band_217,2098.08168627451
band_218,2103.5424313725493
band_219,2109.0031764705886
band_220,2114.463921568628
band_221,2119.924666666667
band_222,2125.385411764706
band_223,2130.8461568627454
band_224,2136.3069019607847
band_225,2141.767647058824
band_226,2147.2283921568633
band_227,2152.689137254902
band_228,2158.1498823529414
band_229,2163.6106274509807
band_230,2169.07137254902
band_231,2174.5321176470593
band_232,2179.992862745098
band_233,2185.4536078431374
band_234,2190.9143529411767
band_235,2196.375098039216
band_236,2201.8358431372553
band_237,2207.2965882352946
band_238,2212.7573333333335
band_239,2218.2180784313728
band_240,2223.678823529412
band_241,2229.1395686274514
band_242,2234.6003137254907
