sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw16714,M00,3,550,550,0,True
KYOw16714,M00,4,0,0,0,False
KYOw16714,M00,5,1349,1349,0,True
KYOw16714,M00,6,14296,14296,0,True
KYOw16714,M00,7,9912,9912,0,True
KYOw16714,M00,8,657,657,0,True
KYOw16716,M00,1,53836,53836,0,True
KYOw16716,M00,2,68,68,0,True
KYOw16716,M00,3,720,720,0,True
KYOw16716,M00,4,5,5,0,True
KYOw16716,M00,5,2636,2636,0,True
KYOw16716,M00,6,8447,8447,0,True
KYOw16716,M00,7,13240,13239,1,True
KYOw16716,M00,8,1104,1104,0,True
KYOw16719,M00,1,42732,42732,0,True
KYOw16719,M00,2,0,0,0,False
KYOw16719,M00,3,972,972,0,True
KYOw16719,M00,4,7,7,0,True
KYOw16719,M00,5,35891,35891,0,True
KYOw16719,M00,6,600,600,0,True
KYOw16719,M00,7,573,573,0,True
KYOw16719,M00,8,722,722,0,True
KYOw16737,M00,1,10925,10925,0,True
KYOw16737,M00,2,1,1,0,True
KYOw16737,M00,3,1895,1895,0,True
KYOw16737,M00,4,112,112,0,True
KYOw16737,M00,5,26373,26373,0,True
KYOw16737,M00,6,11010,11010,0,True
KYOw16737,M00,7,13175,13175,0,True
KYOw16737,M00,8,2202,2202,0,True
KYOw16744,M00,1,127,127,0,True
KYOw16744,M00,2,1,1,0,True
KYOw16744,M00,3,2477,2477,0,True
KYOw16744,M00,4,71,71,0,True
KYOw16744,M00,5,1419,1419,0,True
KYOw16744,M00,6,92021,92021,0,True
KYOw16744,M00,7,7406,7406,0,True
KYOw16744,M00,8,5341,5341,0,True
KYOw16750,M00,1,28930,28930,0,True
KYOw16750,M00,2,0,0,0,False
KYOw16750,M00,3,309,309,0,True
KYOw16750,M00,4,0,0,0,False
KYOw16750,M00,5,2790,2790,0,True
KYOw16750,M00,6,4510,4510,0,True
KYOw16750,M00,7,21715,21715,0,True
KYOw16750,M00,8,485,485,0,True
