condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
B1,B1-M00,1,reflectance,913.1,-0.004945715917510696,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1158.8335294117649,-0.009198243845524812,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1164.294274509804,-0.009037912500491685,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1169.7550196078432,-0.00895146121002477,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1175.2157647058825,-0.008920671433879312,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1180.6765098039216,-0.008900949881041176,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1186.137254901961,-0.00886476511646983,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1191.598,-0.008805578577746664,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1197.0587450980393,-0.00883358056249961,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1202.5194901960786,-0.008738248718422659,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1207.9802352941178,-0.008703077696540551,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1213.440980392157,-0.008716165377947283,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1218.9017254901962,-0.008746771054022995,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1224.3624705882353,-0.008780097651985952,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1229.8232156862746,-0.008783715496705202,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1235.2839607843139,-0.008794623148043024,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1240.7447058823532,-0.008873029008981681,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1246.2054509803922,-0.008857589384418496,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1251.6661960784315,-0.008848735585860412,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1257.1269411764706,-0.008882060578302653,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1262.58768627451,-0.008930968337393264,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1268.0484313725492,-0.008964415229957945,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1273.5091764705883,-0.008947917325794141,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1278.9699215686276,-0.009073844865564284,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1284.4306666666666,-0.009117256071083712,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1289.891411764706,-0.009261620794491665,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1295.3521568627452,-0.009369690841694145,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1300.8129019607845,-0.009527063344085929,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1306.2736470588236,-0.009806906702801932,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1311.734392156863,-0.009288502322245873,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1317.195137254902,-0.009299276739652362,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1322.6558823529413,-0.009104057061146809,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1328.1166274509806,-0.008929834897912547,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1333.5773725490199,-0.008714029951977786,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1339.038117647059,-0.008411592749509977,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1344.4988627450982,-0.008051635313051198,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1349.9596078431373,-0.007691825972987565,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1355.4203529411766,-0.007437180094654439,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1360.8810980392159,-0.007241559348839632,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1366.341843137255,-0.007050550991100191,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1371.8025882352943,-0.006888821505985576,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1377.2633333333333,-0.00678108119904175,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1382.7240784313726,-0.006657173625695401,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1388.184823529412,-0.006396379548895492,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1393.6455686274512,-0.006108699361709324,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1399.1063137254903,-0.0055664635478748226,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1404.5670588235296,-0.00494639344171216,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1410.0278039215686,-0.004433276597453073,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1415.488549019608,-0.00399969445725068,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1420.9492941176472,-0.003614579963356457,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1426.4100392156865,-0.003318048209286162,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1431.8707843137256,-0.003172391495266824,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1437.3315294117647,-0.003033058415668366,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1442.792274509804,-0.002905539154400283,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1448.2530196078433,-0.0027550188788229013,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1453.7137647058826,-0.0026611832264466506,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1459.1745098039219,-0.0026326030288669755,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1464.635254901961,-0.002628007281886613,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1470.096,-0.0026095890904833663,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1475.5567450980393,-0.0025465117202293497,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1481.0174901960786,-0.0025480094143189858,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1486.478235294118,-0.002555735509738033,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1491.938980392157,-0.0025729076408413376,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1497.3997254901963,-0.002597613655623221,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1502.8604705882353,-0.002638083461368068,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1508.3212156862746,-0.002702856336456838,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1513.781960784314,-0.0027738669372294744,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1519.2427058823532,-0.0028762528661075426,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1524.7034509803923,-0.002895240006070221,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1530.1641960784316,-0.0028997769936663365,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1535.6249411764707,-0.00291244561303583,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1541.08568627451,-0.0029261043275585763,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1546.5464313725493,-0.002936845395711485,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1552.0071764705885,-0.002971781869633372,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1557.4679215686276,-0.003083928630556898,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1562.9286666666667,-0.003045453314155011,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1568.389411764706,-0.0029987553691226965,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1573.8501568627453,-0.002995343624316471,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1579.3109019607846,-0.0030476233759574867,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1584.7716470588239,-0.0030829386382498214,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1590.232392156863,-0.003041503848457583,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1595.693137254902,-0.003076861490798277,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1601.1538823529413,-0.0031506529624996116,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1606.6146274509806,-0.0031778479864837395,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1612.07537254902,-0.003208040342735363,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1617.536117647059,-0.0032366807870879977,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1622.9968627450983,-0.0032590173677389256,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1628.4576078431373,-0.003278025768530257,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1633.9183529411766,-0.0032975047100254895,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1639.379098039216,-0.0033145753984604176,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1644.8398431372552,-0.003320083964469034,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1650.3005882352943,-0.0033340633369908224,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1655.7613333333334,-0.003407672098906245,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1661.2220784313727,-0.003479266000858794,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1666.682823529412,-0.003539805330167567,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1672.1435686274513,-0.0036034444577281444,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1677.6043137254906,-0.003515273987548473,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1683.0650588235296,-0.0035568556039329846,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1688.5258039215687,-0.003463134370831733,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1693.986549019608,-0.003464579209734364,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1699.4472941176473,-0.0034618378143489448,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1704.9080392156866,-0.0034068047592963335,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1710.3687843137257,-0.0033520106393761795,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1715.829529411765,-0.003348328260464606,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1721.290274509804,-0.0032031645448480917,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1726.7510196078433,-0.0032254789249889226,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1732.2117647058826,-0.0031366716543130835,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1737.672509803922,-0.003076248177001306,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1743.133254901961,-0.0030643466961479127,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1748.594,-0.003041463076208062,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1754.0547450980393,-0.0029505160917098205,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1759.5154901960786,-0.0028172672258571785,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1764.976235294118,-0.0028063970101870894,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1770.4369803921572,-0.0027362265904088967,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1775.8977254901963,-0.002636269618785214,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1781.3584705882354,-0.002576112770520056,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1786.8192156862747,-0.002529603753067766,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1792.279960784314,-0.002477751066357392,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1797.7407058823533,-0.002458632191942034,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1803.2014509803923,-0.002365124535417207,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1808.6621960784316,-0.002323206175610104,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1814.1229411764707,-0.002364038618432318,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1819.58368627451,-0.0022596059387777756,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1825.0444313725493,-0.0022708728866714933,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1830.5051764705886,-0.002365489667555787,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1835.9659215686277,-0.002339807818268036,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1841.4266666666667,-0.0023847827302305724,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1846.887411764706,-0.002405931809501771,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1852.3481568627453,-0.0023215662914607416,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1857.8089019607846,-0.0022670484075782427,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1863.269647058824,-0.00224009415299975,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1868.730392156863,-0.0022065268799282833,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1874.191137254902,-0.002199107104978726,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1879.6518823529414,-0.00225280590037491,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1885.1126274509807,-0.002123958666784387,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1890.57337254902,-0.0018688911065173341,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1896.034117647059,-0.0013570537487351264,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1901.4948627450983,-0.0009365647672230359,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1906.9556078431374,-0.0005379568045277283,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1912.4163529411767,-7.042092114201148e-05,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1917.877098039216,0.00023404389772563317,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1923.3378431372553,-8.16559937940331e-05,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1928.7985882352943,-0.00011915738290171896,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1934.2593333333336,-0.00018548262911541324,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1939.7200784313727,-0.0001467461737832132,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1945.180823529412,-0.00018848290775227983,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1950.6415686274513,-0.00020802616449294709,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1956.1023137254906,-0.0001602461123674792,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1961.5630588235294,-0.00015536901493370947,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1967.0238039215687,-0.0002478376161660356,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1972.484549019608,-0.000427609975405141,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1977.9452941176473,-0.000318419040746587,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1983.4060392156866,-0.0002881336293675263,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1988.866784313726,-0.0004887394801961209,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1994.3275294117648,-0.0005863594255213767,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1999.788274509804,-0.0005433129665559089,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2005.2490196078434,-0.0007791553986392641,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2010.7097647058827,-0.0006365261742443673,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2016.170509803922,-0.0006578391937487327,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2021.6312549019613,-0.0007248096762449974,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2027.092,-0.0007083406263126979,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2032.5527450980394,-0.000699922345345827,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2038.0134901960787,-0.0006859051086890444,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2043.474235294118,-0.000627170665213006,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2048.9349803921573,-0.0006265854283755146,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2054.3957254901966,-0.0005140195447833618,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2059.8564705882354,-0.0006254518257295394,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2065.3172156862747,-0.0006682534071812962,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2070.777960784314,-0.0005599811206972172,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2076.2387058823533,-0.000639152463057957,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2081.6994509803926,-0.0006759488541103753,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2087.1601960784315,-0.0003398333014867916,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2092.6209411764708,-0.0007550063303956023,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2098.08168627451,-0.0005723183899821183,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2103.5424313725493,-0.0005027316189242237,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2109.0031764705886,-0.0006232159428419815,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2114.463921568628,-0.0006326550831763922,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2119.924666666667,-0.0006350918968729413,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2125.385411764706,-0.0007231871661586009,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2130.8461568627454,-0.0007244750011866086,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2136.3069019607847,-0.0007869018041581355,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2141.767647058824,-0.000737820355238783,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2147.2283921568633,-0.0008106792504198324,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2152.689137254902,-0.0009454904927578278,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2158.1498823529414,-0.0010076927845837358,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2163.6106274509807,-0.0009148036626455691,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2169.07137254902,-0.0007520443577622715,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2174.5321176470593,-0.0007319926365493279,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2179.992862745098,-0.0006885001569613691,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2185.4536078431374,-0.0007922177952184306,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2190.9143529411767,-0.0009941412415608308,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2196.375098039216,-0.0009750729220363019,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2201.8358431372553,-0.0008076090780787526,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2207.2965882352946,-0.0008686111563655508,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2212.7573333333335,-0.0011700609113340366,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2218.2180784313728,-0.0008139382013232499,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2223.678823529412,-0.0009778257142053493,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2229.1395686274514,-0.0010064952991024056,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2234.6003137254907,-0.001420048964099807,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2240.06105882353,-0.0015195589304104473,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2245.521803921569,-0.0013076796987989137,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2250.982549019608,-0.0012170005330373046,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2256.4432941176474,-0.0015661386953792489,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2261.9040392156867,-0.002200133300155782,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2267.364784313726,-0.001832899426046003,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2272.825529411765,-0.0024588689547617726,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2278.286274509804,-0.0025466719661297044,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2283.7470196078434,-0.0029028296600712156,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2289.2077647058827,-0.0029230064681315115,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2294.668509803922,-0.0026560924600565194,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2300.1292549019613,-0.0036477186368978343,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,2305.59,-0.003974611686309998,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,913.1,0.021995483134787497,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,918.5607450980392,0.030017280635080246,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,924.0214901960785,0.03412014002348451,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,929.4822352941177,0.03321098466000261,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,934.9429803921569,0.03230069146300507,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,940.4037254901962,0.03150952263255968,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,945.8644705882353,0.02794850518258718,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,951.3252156862745,0.0256248290156329,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,956.7859607843137,0.025197632124046354,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,962.246705882353,0.025293446126516628,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,967.7074509803922,0.023371896174168683,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,973.1681960784314,0.021537311624786337,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,978.6289411764706,0.020519763034238636,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,984.0896862745099,0.01958413243557633,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,989.550431372549,0.0184152919006475,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,995.0111764705882,0.017961878577201107,difference of equal-sample representative means; not paired
B1,B1-M00,1,snv,1000.4719215686275,0.01789420754679316,difference of equal-sample representative means; not paired
