condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
M11,M11-M00,1,reflectance,1339.038117647059,-0.003345200342568022,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1344.4988627450982,-0.0033037243211702094,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1349.9596078431373,-0.003254134039550549,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1355.4203529411766,-0.0032148324888494617,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1360.8810980392159,-0.003136540744172356,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1366.341843137255,-0.0030738614523643237,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1371.8025882352943,-0.003038202714992222,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1377.2633333333333,-0.003025565840021227,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1382.7240784313726,-0.0030221646696488857,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1388.184823529412,-0.0030147394983039977,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1393.6455686274512,-0.0030107223054451904,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1399.1063137254903,-0.0029922200703479396,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1404.5670588235296,-0.0029240533899649312,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1410.0278039215686,-0.002841605136597869,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1415.488549019608,-0.0027487750520002185,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1420.9492941176472,-0.002642955844695649,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1426.4100392156865,-0.0025419211866641866,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1431.8707843137256,-0.002492728113116849,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1437.3315294117647,-0.0024418103246574563,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1442.792274509804,-0.0024044189440247665,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1448.2530196078433,-0.0023806079643236,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1453.7137647058826,-0.0023600175635757337,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1459.1745098039219,-0.002343465162922276,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1464.635254901961,-0.002327549613533597,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1470.096,-0.0023023170329342646,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1475.5567450980393,-0.002304754663706776,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1481.0174901960786,-0.0022680446839864477,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1486.478235294118,-0.002271406310102364,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1491.938980392157,-0.002275519154449457,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1497.3997254901963,-0.0022728281926112093,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1502.8604705882353,-0.0022720118706526238,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1508.3212156862746,-0.0022781016089842288,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1513.781960784314,-0.002280728435900825,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1519.2427058823532,-0.002297935442396426,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1524.7034509803923,-0.002301854863350883,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1530.1641960784316,-0.0023120139055516353,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1535.6249411764707,-0.002324116494976991,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1541.08568627451,-0.0023333440348090595,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1546.5464313725493,-0.002339335552762556,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1552.0071764705885,-0.0023462542119472296,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1557.4679215686276,-0.0023652779334171203,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1562.9286666666667,-0.002316887458253314,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1568.389411764706,-0.0023684854658265198,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1573.8501568627453,-0.002395786593326954,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1579.3109019607846,-0.0023859762185375333,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1584.7716470588239,-0.0023743619648086134,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1590.232392156863,-0.0023833200709312274,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1595.693137254902,-0.0024028315606731687,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1601.1538823529413,-0.002431761935411225,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1606.6146274509806,-0.0024532190935573905,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1612.07537254902,-0.002466397093547068,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1617.536117647059,-0.0024868949112827887,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1622.9968627450983,-0.0025088080919513644,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1628.4576078431373,-0.0025172236222280042,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1633.9183529411766,-0.0025128758100634863,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1639.379098039216,-0.0025202080737545263,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1644.8398431372552,-0.0025053525915850194,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1650.3005882352943,-0.002468577383227144,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1655.7613333333334,-0.002445843205842846,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1661.2220784313727,-0.002413915773620934,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1666.682823529412,-0.002371054900589864,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1672.1435686274513,-0.0023452907559511904,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1677.6043137254906,-0.0023258054696901898,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1683.0650588235296,-0.002334735822577483,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1688.5258039215687,-0.0022789743456673728,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1693.986549019608,-0.0022431366454797597,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1699.4472941176473,-0.0022288305369731476,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1704.9080392156866,-0.0022135177540721362,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1710.3687843137257,-0.0021962239524566107,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1715.829529411765,-0.0022047297898299956,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1721.290274509804,-0.0022018685936299187,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1726.7510196078433,-0.002258705539031236,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1732.2117647058826,-0.0022411496601957848,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1737.672509803922,-0.0022439469279688096,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1743.133254901961,-0.0022337482803416187,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1748.594,-0.0022132830813589854,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1754.0547450980393,-0.0022284540157025967,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1759.5154901960786,-0.002238432216484121,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1764.976235294118,-0.0022504087550949126,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1770.4369803921572,-0.0022675010792195804,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1775.8977254901963,-0.0022527858614091456,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1781.3584705882354,-0.0022469050106971866,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1786.8192156862747,-0.0022500459376220694,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1792.279960784314,-0.002245001905532451,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1797.7407058823533,-0.0022390477068949255,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1803.2014509803923,-0.0022665253992479872,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1808.6621960784316,-0.002208689266193886,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1814.1229411764707,-0.0022815221125990215,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1819.58368627451,-0.002266093368480937,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1825.0444313725493,-0.0022472191621723536,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1830.5051764705886,-0.0022655951960606213,difference of equal-sample representative means; not paired
