sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw16714,A1,5,0,0,0,False
KYOw16714,A1,6,15972,15972,0,True
KYOw16714,A1,7,8507,8507,0,True
KYOw16714,A1,3,414,414,0,True
KYOw16716,A1,1,50988,50988,0,True
KYOw16716,A1,2,59,59,0,True
KYOw16716,A1,8,2514,2514,0,True
KYOw16716,A1,4,2,2,0,True
KYOw16716,A1,5,1298,1298,0,True
KYOw16716,A1,6,9782,9782,0,True
KYOw16716,A1,7,14070,14069,1,True
KYOw16716,A1,3,1343,1343,0,True
KYOw16719,A1,1,1839,1839,0,True
KYOw16719,A1,2,0,0,0,False
KYOw16719,A1,8,3531,3531,0,True
KYOw16719,A1,4,5,5,0,True
KYOw16719,A1,5,74619,74619,0,True
KYOw16719,A1,6,417,417,0,True
KYOw16719,A1,7,92,92,0,True
KYOw16719,A1,3,994,994,0,True
KYOw16737,A1,1,11422,11422,0,True
KYOw16737,A1,2,12,12,0,True
KYOw16737,A1,8,16801,16801,0,True
KYOw16737,A1,4,282,282,0,True
KYOw16737,A1,5,11,11,0,True
KYOw16737,A1,6,32208,32208,0,True
KYOw16737,A1,7,2856,2856,0,True
KYOw16737,A1,3,2101,2101,0,True
KYOw16744,A1,1,4285,4285,0,True
KYOw16744,A1,2,14,14,0,True
KYOw16744,A1,8,8609,8609,0,True
KYOw16744,A1,4,80,80,0,True
KYOw16744,A1,5,218,218,0,True
KYOw16744,A1,6,87742,87742,0,True
KYOw16744,A1,7,4736,4736,0,True
KYOw16744,A1,3,3179,3179,0,True
KYOw16750,A1,1,34487,34487,0,True
KYOw16750,A1,2,0,0,0,False
KYOw16750,A1,8,2263,2263,0,True
KYOw16750,A1,4,0,0,0,False
KYOw16750,A1,5,545,545,0,True
KYOw16750,A1,6,1259,1259,0,True
KYOw16750,A1,7,20082,20082,0,True
KYOw16750,A1,3,103,103,0,True
