stage,band_index,wavelength_nm,low_snr,sample_count,median_nonfinite_fraction,q90_nonfinite_fraction,max_nonfinite_fraction,median_negative_fraction,q90_negative_fraction,max_negative_fraction,median_above_one_fraction,q90_above_one_fraction,max_above_one_fraction,median_sample_q01,median_sample_median,median_sample_q99,q10_sample_median,q90_sample_median
reflectance,52,1197.0587450980393,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4844368100166321,0.6330416798591614,0.7065860199928283,0.5855631411075592,0.6796435832977294
reflectance,53,1202.5194901960786,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48085334718227385,0.6310061812400818,0.7063832348585128,0.5826354324817657,0.6774914741516114
reflectance,54,1207.9802352941178,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48072088599205015,0.6304026246070862,0.7061377882957458,0.5811905801296234,0.6761809706687927
reflectance,55,1213.440980392157,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4817780578136444,0.6304100155830383,0.7062684452533722,0.580749374628067,0.6754728198051453
reflectance,56,1218.9017254901962,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48358299255371096,0.6313658356666565,0.7071231377124786,0.5815728783607483,0.675899064540863
reflectance,57,1224.3624705882353,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486854110956192,0.6335647702217102,0.7091977530717849,0.5838595509529114,0.6781140446662903
reflectance,58,1229.8232156862746,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909978759288788,0.6366463899612427,0.7125402128696441,0.587456864118576,0.6815159916877747
reflectance,59,1235.2839607843139,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49674354314804076,0.6408742666244507,0.7163716757297515,0.5919393181800843,0.6858734965324402
reflectance,60,1240.7447058823532,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5017861008644104,0.6460201144218445,0.7206381297111512,0.5968645811080933,0.6905458688735963
reflectance,61,1246.2054509803922,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5077693748474121,0.6509625911712646,0.7249461138248444,0.6017178118228912,0.6951212286949158
reflectance,62,1251.6661960784315,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126970052719116,0.6553164720535278,0.7285520881414416,0.6060209214687348,0.6991592407226562
reflectance,63,1257.1269411764706,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5166599750518799,0.6594178378582001,0.7315822207927704,0.609840351343155,0.7025856971740723
reflectance,64,1262.58768627451,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204778337478637,0.6627200841903687,0.7344254636764526,0.613341873884201,0.7053794503211975
reflectance,65,1268.0484313725492,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226980674266816,0.6652509570121765,0.7367426669597625,0.6164396047592163,0.7075436234474183
reflectance,66,1273.5091764705883,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244990456104278,0.6679410934448242,0.7391371726989745,0.6196065485477448,0.7095218420028687
reflectance,67,1278.9699215686276,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263371145725251,0.6714652180671692,0.7422101879119872,0.623623502254486,0.7122236013412476
reflectance,68,1284.4306666666666,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528918604850769,0.6755444407463074,0.7453816354274749,0.628280645608902,0.7154085397720337
reflectance,69,1289.891411764706,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5315805417299271,0.6796835660934448,0.7487309741973877,0.6329789102077484,0.7187164068222046
reflectance,70,1295.3521568627452,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5345010364055633,0.6833755970001221,0.7523641955852508,0.6372097671031952,0.7218677639961243
reflectance,71,1300.8129019607845,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5363454276323318,0.6859139204025269,0.7544542199373245,0.6402330756187439,0.7242756605148316
reflectance,72,1306.2736470588236,False,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376385414600372,0.6860250234603882,0.7550936365127564,0.6413937747478485,0.7252436518669129
